Time RPM1 RPM2 RPM3
0.003 0.0 0.0 0.0
0.058 0.0 0.0 0.0
0.061 0.0 0.0 0.0
0.063 0.0 0.0 0.0
0.160 0.0 0.0 0.0
0.162 0.0 0.0 0.0
0.165 0.0 0.0 0.0
0.167 0.0 0.0 0.0
0.170 0.0 0.0 0.0
0.213 0.0 0.0 0.0
0.220 0.0 0.0 0.0
0.222 0.0 0.0 0.0
0.357 0.0 0.0 0.0
0.359 0.0 0.0 0.0
0.360 0.0 0.0 0.0
0.361 0.0 0.0 0.0
0.362 0.0 0.0 0.0
0.363 0.0 0.0 0.0
0.364 0.0 0.0 0.0
0.365 0.0 0.0 0.0
0.442 0.0 0.0 0.0
0.445 0.0 0.0 0.0
0.446 0.0 0.0 0.0
0.449 0.0 0.0 0.0
0.489 0.0 0.0 0.0
0.489 0.0 0.0 0.0
0.540 0.0 0.0 0.0
0.543 0.0 0.0 0.0
0.545 0.0 0.0 0.0
0.666 0.0 0.0 0.0
0.668 0.0 0.0 0.0
0.671 0.0 0.0 0.0
0.674 0.0 0.0 0.0
0.675 0.0 0.0 0.0
0.676 0.0 0.0 0.0
0.733 0.0 0.0 0.0
0.735 0.0 0.0 0.0
0.736 0.0 0.0 0.0
0.789 0.0 0.0 0.0
0.791 0.0 0.0 0.0
0.793 0.0 0.0 0.0
0.871 0.0 0.0 0.0
0.873 0.0 0.0 0.0
0.875 0.0 0.0 0.0
0.876 0.0 0.0 0.0
0.926 0.0 0.0 0.0
0.929 0.0 0.0 0.0
0.932 0.0 0.0 0.0
1.085 0.0 0.0 0.0
1.087 0.0 0.0 0.0
1.091 0.0 0.0 0.0
1.094 0.0 0.0 0.0
1.095 0.0 0.0 0.0
1.096 0.0 0.0 0.0
1.097 0.0 0.0 0.0
1.176 0.0 0.0 0.0
1.179 0.0 0.0 0.0
1.180 0.0 0.0 0.0
1.183 0.0 0.0 0.0
1.185 0.0 0.0 0.0
1.188 0.0 0.0 0.0
1.222 0.0 0.0 0.0
1.226 0.0 0.0 0.0
1.267 0.0 0.0 0.0
