Time RPM1 RPM2 RPM3
0.000 0.0 0.0 0.0
0.006 0.0 0.0 0.0
0.010 0.0 0.0 0.0
0.012 0.0 0.0 0.0
0.015 0.0 0.0 0.0
0.087 0.0 0.0 0.0
0.088 0.0 0.0 0.0
0.091 0.0 0.0 0.0
0.094 0.0 0.0 0.0
0.097 0.0 0.0 0.0
0.144 0.0 0.0 0.0
0.145 0.0 0.0 0.0
0.147 0.0 0.0 0.0
0.290 0.0 0.0 0.0
0.291 0.0 0.0 0.0
0.292 0.0 0.0 0.0
0.295 0.0 0.0 0.0
0.297 0.0 0.0 0.0
0.300 0.0 0.0 0.0
0.303 0.0 0.0 0.0
0.405 0.0 0.0 0.0
0.408 0.0 0.0 0.0
0.410 0.0 0.0 0.0
0.412 0.0 0.0 0.0
0.413 0.0 0.0 0.0
0.414 0.0 0.0 0.0
0.500 0.0 0.0 0.0
0.502 0.0 0.0 0.0
0.504 0.0 0.0 0.0
0.507 0.0 0.0 0.0
0.508 0.0 0.0 0.0
0.564 0.0 0.0 0.0
0.565 0.0 0.0 0.0
0.567 0.0 0.0 0.0
0.622 0.0 0.0 0.0
0.624 0.0 0.0 0.0
0.626 0.0 0.0 0.0
0.704 0.0 0.0 0.0
0.707 0.0 0.0 0.0
0.707 0.0 0.0 0.0
0.708 0.0 0.0 0.0
0.810 0.0 0.0 0.0
0.810 0.0 0.0 0.0
0.814 0.0 0.0 0.0
0.817 0.0 0.0 0.0
0.819 0.0 0.0 0.0
0.906 0.0 0.0 0.0
0.907 0.0 0.0 0.0
0.911 0.0 0.0 0.0
0.913 0.0 0.0 0.0
0.914 0.0 0.0 0.0
0.968 0.0 0.0 0.0
0.971 0.0 0.0 0.0
0.974 0.0 0.0 0.0
1.122 0.0 0.0 0.0
1.123 0.0 0.0 0.0
1.123 0.0 0.0 0.0
1.124 0.0 0.0 0.0
1.124 0.0 0.0 0.0
1.124 0.0 0.0 0.0
1.125 0.0 0.0 0.0
1.210 0.0 0.0 0.0
1.211 0.0 0.0 0.0
1.211 0.0 0.0 0.0
1.211 0.0 0.0 0.0
1.212 0.0 0.0 0.0
1.212 0.0 0.0 0.0
1.317 0.0 0.0 0.0
1.317 0.0 0.0 0.0
1.318 0.0 0.0 0.0
1.318 0.0 0.0 0.0
1.318 0.0 0.0 0.0
1.382 0.0 0.0 0.0
1.383 0.0 0.0 0.0
1.434 0.0 0.0 0.0
1.435 0.0 0.0 0.0
1.435 0.0 0.0 0.0
1.435 0.0 0.0 0.0
1.519 0.0 0.0 0.0
1.519 0.0 0.0 0.0
1.519 0.0 0.0 0.0
1.520 0.0 0.0 0.0
1.575 0.0 0.0 0.0
1.576 0.0 0.0 0.0
1.730 0.0 0.0 0.0
1.731 0.0 0.0 0.0
1.731 0.0 0.0 0.0
1.732 0.0 0.0 0.0
1.732 0.0 0.0 0.0
1.733 0.0 0.0 0.0
1.733 0.0 0.0 0.0
1.733 0.0 0.0 0.0
1.933 0.0 0.0 0.0
1.935 0.0 0.0 0.0
1.935 0.0 0.0 0.0
1.936 0.0 0.0 0.0
1.936 0.0 0.0 0.0
1.936 0.0 0.0 0.0
1.937 0.0 0.0 0.0
1.937 0.0 0.0 0.0
1.937 0.0 0.0 0.0
1.938 0.0 0.0 0.0
2.031 0.0 0.0 0.0
2.034 0.0 0.0 0.0
2.035 0.0 0.0 0.0
2.035 0.0 0.0 0.0
2.035 0.0 0.0 0.0
2.136 0.0 0.0 0.0
2.136 0.0 0.0 0.0
2.137 0.0 0.0 0.0
2.137 0.0 0.0 0.0
2.138 0.0 0.0 0.0
2.138 0.0 0.0 0.0
2.234 0.0 0.0 0.0
2.234 0.0 0.0 0.0
2.235 0.0 0.0 0.0
2.235 0.0 0.0 0.0
2.235 0.0 0.0 0.0
2.285 0.0 0.0 0.0
2.286 0.0 0.0 0.0
2.439 0.0 0.0 0.0
2.440 0.0 0.0 0.0
2.440 0.0 0.0 0.0
2.440 0.0 0.0 0.0
2.441 0.0 0.0 0.0
2.441 0.0 0.0 0.0
2.442 0.0 0.0 0.0
2.442 0.0 0.0 0.0
2.561 0.0 0.0 0.0
2.561 0.0 0.0 0.0
2.562 0.0 0.0 0.0
2.562 0.0 0.0 0.0
2.563 0.0 0.0 0.0
2.664 0.0 0.0 0.0
2.666 0.0 0.0 0.0
2.666 0.0 0.0 0.0
2.667 0.0 0.0 0.0
2.667 0.0 0.0 0.0
2.771 0.0 0.0 0.0
2.772 0.0 0.0 0.0
2.773 0.0 0.0 0.0
2.774 0.0 0.0 0.0
2.774 0.0 0.0 0.0
2.847 0.0 0.0 0.0
2.847 0.0 0.0 0.0
2.848 0.0 0.0 0.0
2.848 0.0 0.0 0.0
2.848 0.0 0.0 0.0
2.956 0.0 0.0 0.0
2.956 0.0 0.0 0.0
2.956 0.0 0.0 0.0
2.957 0.0 0.0 0.0
2.957 0.0 0.0 0.0
2.958 0.0 0.0 0.0
3.052 0.0 0.0 0.0
3.054 0.0 0.0 0.0
3.054 0.0 0.0 0.0
3.054 0.0 0.0 0.0
3.054 0.0 0.0 0.0
3.158 0.0 0.0 0.0
3.159 0.0 0.0 0.0
3.160 0.0 0.0 0.0
3.160 0.0 0.0 0.0
3.161 0.0 0.0 0.0
3.222 0.0 0.0 0.0
3.223 0.0 0.0 0.0
3.223 0.0 0.0 0.0
3.284 0.0 0.0 0.0
3.284 0.0 0.0 0.0
3.285 0.0 0.0 0.0
3.361 0.0 0.0 0.0
3.362 0.0 0.0 0.0
3.362 0.0 0.0 0.0
3.363 0.0 0.0 0.0
3.480 0.0 0.0 0.0
3.484 0.0 0.0 0.0
3.485 0.0 0.0 0.0
3.485 0.0 0.0 0.0
3.486 0.0 0.0 0.0
3.567 0.0 0.0 0.0
3.567 0.0 0.0 0.0
3.568 0.0 0.0 0.0
3.568 0.0 0.0 0.0
3.569 0.0 0.0 0.0
3.670 0.0 0.0 0.0
3.671 0.0 0.0 0.0
3.671 0.0 0.0 0.0
3.672 0.0 0.0 0.0
3.672 0.0 0.0 0.0
3.777 0.0 0.0 0.0
3.778 0.0 0.0 0.0
3.778 0.0 0.0 0.0
3.779 0.0 0.0 0.0
3.780 0.0 0.0 0.0
3.780 0.0 0.0 0.0
3.869 0.0 0.0 0.0
3.870 0.0 0.0 0.0
3.870 0.0 0.0 0.0
3.871 0.0 0.0 0.0
3.872 0.0 0.0 0.0
