Time RPM1 RPM2 RPM3
0.001 0.0 0.0 0.0
0.076 0.0 0.0 0.0
0.078 0.0 0.0 0.0
0.080 0.0 0.0 0.0
0.081 0.0 0.0 0.0
0.378 0.0 0.0 0.0
0.379 0.0 0.0 0.0
0.379 0.0 0.0 0.0
0.380 0.0 0.0 0.0
0.381 0.0 0.0 0.0
0.381 0.0 0.0 0.0
0.381 0.0 0.0 0.0
0.387 0.0 0.0 0.0
0.388 0.0 0.0 0.0
0.391 0.0 0.0 0.0
0.394 0.0 0.0 0.0
0.445 0.0 0.0 0.0
0.447 0.0 0.0 0.0
0.448 0.0 0.0 0.0
0.449 0.0 0.0 0.0
0.449 0.0 0.0 0.0
0.449 0.0 0.0 0.0
0.450 0.0 0.0 0.0
0.450 0.0 0.0 0.0
0.520 0.0 0.0 0.0
0.523 0.0 0.0 0.0
0.526 0.0 0.0 0.0
0.584 0.0 0.0 0.0
0.586 0.0 0.0 0.0
0.588 0.0 0.0 0.0
0.690 0.0 0.0 0.0
0.691 0.0 0.0 0.0
0.692 0.0 0.0 0.0
0.693 0.0 0.0 0.0
0.814 0.0 0.0 0.0
0.816 0.0 0.0 0.0
0.827 0.0 0.0 0.0
0.829 0.0 0.0 0.0
0.831 0.0 0.0 0.0
0.832 0.0 0.0 0.0
0.833 0.0 0.0 0.0
0.833 0.0 0.0 0.0
0.868 0.0 0.0 0.0
0.872 0.0 0.0 0.0
0.873 0.0 0.0 0.0
1.015 0.0 0.0 0.0
1.016 0.0 0.0 0.0
1.017 0.0 0.0 0.0
1.018 0.0 0.0 0.0
1.020 0.0 0.0 0.0
1.023 0.0 0.0 0.0
1.025 0.0 0.0 0.0
1.124 0.0 0.0 0.0
1.126 0.0 0.0 0.0
1.127 0.0 0.0 0.0
1.128 0.0 0.0 0.0
1.129 0.0 0.0 0.0
1.189 0.0 0.0 0.0
1.190 0.0 0.0 0.0
1.191 0.0 0.0 0.0
1.194 0.0 0.0 0.0
1.240 0.0 0.0 0.0
1.242 0.0 0.0 0.0
1.243 0.0 0.0 0.0
1.418 0.0 0.0 0.0
1.420 0.0 0.0 0.0
1.421 0.0 0.0 0.0
1.422 0.0 0.0 0.0
1.423 0.0 0.0 0.0
1.424 0.0 0.0 0.0
1.425 0.0 0.0 0.0
1.426 0.0 0.0 0.0
1.428 0.0 0.0 0.0
1.472 0.0 0.0 0.0
1.475 0.0 0.0 0.0
1.476 0.0 0.0 0.0
1.621 0.0 0.0 0.0
1.623 0.0 0.0 0.0
1.624 0.0 0.0 0.0
1.625 0.0 0.0 0.0
1.626 0.0 0.0 0.0
1.627 0.0 0.0 0.0
1.628 0.0 0.0 0.0
1.699 0.0 0.0 0.0
1.700 0.0 0.0 0.0
1.701 0.0 0.0 0.0
1.753 0.0 0.0 0.0
1.755 0.0 0.0 0.0
1.758 0.0 0.0 0.0
1.761 0.0 0.0 0.0
1.834 0.0 0.0 0.0
1.835 0.0 0.0 0.0
1.838 0.0 0.0 0.0
1.935 0.0 0.0 0.0
1.937 0.0 0.0 0.0
1.938 0.0 0.0 0.0
1.940 0.0 0.0 0.0
1.941 0.0 0.0 0.0
1.997 0.0 0.0 0.0
1.998 0.0 0.0 0.0
1.999 0.0 0.0 0.0
2.051 0.0 0.0 0.0
