Time RPM1 RPM2 RPM3
0.005 0.0 0.0 0.0
0.008 0.0 0.0 0.0
0.008 0.0 0.0 0.0
0.011 0.0 0.0 0.0
0.014 0.0 0.0 0.0
0.016 0.0 0.0 0.0
0.019 0.0 0.0 0.0
0.050 0.0 0.0 0.0
0.052 0.0 0.0 0.0
0.053 0.0 0.0 0.0
0.187 0.0 0.0 0.0
0.189 0.0 0.0 0.0
0.191 0.0 0.0 0.0
0.192 0.0 0.0 0.0
0.193 0.0 0.0 0.0
0.196 0.0 0.0 0.0
0.197 0.0 0.0 0.0
0.292 0.0 0.0 0.0
0.293 0.0 0.0 0.0
0.294 0.0 0.0 0.0
0.295 0.0 0.0 0.0
0.298 0.0 0.0 0.0
0.356 0.0 0.0 0.0
0.357 0.0 0.0 0.0
0.358 0.0 0.0 0.0
0.412 0.0 0.0 0.0
0.414 0.0 0.0 0.0
0.415 0.0 0.0 0.0
0.472 0.0 0.0 0.0
0.475 0.0 0.0 0.0
0.477 0.0 0.0 0.0
0.598 0.0 0.0 0.0
0.600 0.0 0.0 0.0
0.602 0.0 0.0 0.0
0.603 0.0 0.0 0.0
0.604 0.0 0.0 0.0
0.616 0.0 0.0 0.0
0.659 0.0 0.0 0.0
0.660 0.0 0.0 0.0
0.663 0.0 0.0 0.0
0.802 0.0 0.0 0.0
0.803 0.0 0.0 0.0
0.804 0.0 0.0 0.0
0.805 0.0 0.0 0.0
0.806 0.0 0.0 0.0
0.808 0.0 0.0 0.0
0.811 0.0 0.0 0.0
0.858 0.0 0.0 0.0
0.860 0.0 0.0 0.0
0.862 0.0 0.0 0.0
1.007 0.0 0.0 0.0
1.009 0.0 0.0 0.0
1.010 0.0 0.0 0.0
1.012 0.0 0.0 0.0
1.013 0.0 0.0 0.0
1.014 0.0 0.0 0.0
1.017 0.0 0.0 0.0
1.019 0.0 0.0 0.0
1.057 0.0 0.0 0.0
1.058 0.0 0.0 0.0
1.109 0.0 0.0 0.0
1.110 0.0 0.0 0.0
1.114 0.0 0.0 0.0
1.210 0.0 0.0 0.0
1.211 0.0 0.0 0.0
1.214 0.0 0.0 0.0
1.215 0.0 0.0 0.0
1.216 0.0 0.0 0.0
1.257 0.0 0.0 0.0
1.258 0.0 0.0 0.0
1.308 0.0 0.0 0.0
1.318 0.0 0.0 0.0
1.320 0.0 0.0 0.0
1.419 0.0 0.0 0.0
1.420 0.0 0.0 0.0
1.421 0.0 0.0 0.0
1.430 0.0 0.0 0.0
1.430 0.0 0.0 0.0
1.462 0.0 0.0 0.0
1.462 0.0 0.0 0.0
1.463 0.0 0.0 0.0
1.510 0.0 0.0 0.0
1.511 0.0 0.0 0.0
1.619 0.0 0.0 0.0
1.620 0.0 0.0 0.0
1.620 0.0 0.0 0.0
1.620 0.0 0.0 0.0
1.621 0.0 0.0 0.0
1.718 0.0 0.0 0.0
1.718 0.0 0.0 0.0
1.719 0.0 0.0 0.0
1.719 0.0 0.0 0.0
1.720 0.0 0.0 0.0
1.924 0.0 0.0 0.0
1.925 0.0 0.0 0.0
1.925 0.0 0.0 0.0
1.925 0.0 0.0 0.0
1.926 0.0 0.0 0.0
1.926 0.0 0.0 0.0
1.927 0.0 0.0 0.0
1.927 0.0 0.0 0.0
1.927 0.0 0.0 0.0
1.928 0.0 0.0 0.0
1.928 0.0 0.0 0.0
1.972 0.0 0.0 0.0
1.973 0.0 0.0 0.0
2.027 0.0 0.0 0.0
2.027 0.0 0.0 0.0
2.028 0.0 0.0 0.0
2.127 0.0 0.0 0.0
2.127 0.0 0.0 0.0
2.128 0.0 0.0 0.0
2.128 0.0 0.0 0.0
2.129 0.0 0.0 0.0
2.178 0.0 0.0 0.0
2.179 0.0 0.0 0.0
2.332 0.0 0.0 0.0
2.333 0.0 0.0 0.0
2.333 0.0 0.0 0.0
2.334 0.0 0.0 0.0
2.334 0.0 0.0 0.0
2.335 0.0 0.0 0.0
2.335 0.0 0.0 0.0
2.335 0.0 0.0 0.0
2.384 0.0 0.0 0.0
2.385 0.0 0.0 0.0
2.385 0.0 0.0 0.0
2.540 0.0 0.0 0.0
2.540 0.0 0.0 0.0
2.540 0.0 0.0 0.0
2.541 0.0 0.0 0.0
2.541 0.0 0.0 0.0
2.543 0.0 0.0 0.0
2.543 0.0 0.0 0.0
2.544 0.0 0.0 0.0
2.647 0.0 0.0 0.0
2.648 0.0 0.0 0.0
2.648 0.0 0.0 0.0
2.648 0.0 0.0 0.0
2.649 0.0 0.0 0.0
2.745 0.0 0.0 0.0
2.745 0.0 0.0 0.0
2.747 0.0 0.0 0.0
2.747 0.0 0.0 0.0
2.748 0.0 0.0 0.0
2.849 0.0 0.0 0.0
2.849 0.0 0.0 0.0
2.849 0.0 0.0 0.0
2.850 0.0 0.0 0.0
2.850 0.0 0.0 0.0
2.950 0.0 0.0 0.0
2.950 0.0 0.0 0.0
2.951 0.0 0.0 0.0
2.952 0.0 0.0 0.0
2.953 0.0 0.0 0.0
3.052 0.0 0.0 0.0
3.053 0.0 0.0 0.0
3.053 0.0 0.0 0.0
3.053 0.0 0.0 0.0
3.053 0.0 0.0 0.0
3.109 0.0 0.0 0.0
3.109 0.0 0.0 0.0
3.109 0.0 0.0 0.0
3.253 0.0 0.0 0.0
3.253 0.0 0.0 0.0
3.254 0.0 0.0 0.0
3.254 0.0 0.0 0.0
3.254 0.0 0.0 0.0
3.255 0.0 0.0 0.0
3.255 0.0 0.0 0.0
3.301 0.0 0.0 0.0
3.303 0.0 0.0 0.0
3.303 0.0 0.0 0.0
3.349 0.0 0.0 0.0
3.349 0.0 0.0 0.0
3.461 0.0 0.0 0.0
3.462 0.0 0.0 0.0
3.462 0.0 0.0 0.0
3.463 0.0 0.0 0.0
3.463 0.0 0.0 0.0
3.565 0.0 0.0 0.0
3.565 0.0 0.0 0.0
3.566 0.0 0.0 0.0
3.566 0.0 0.0 0.0
3.567 0.0 0.0 0.0
3.568 0.0 0.0 0.0
3.617 0.0 0.0 0.0
3.618 0.0 0.0 0.0
3.775 0.0 0.0 0.0
3.775 0.0 0.0 0.0
3.776 0.0 0.0 0.0
3.776 0.0 0.0 0.0
3.777 0.0 0.0 0.0
3.777 0.0 0.0 0.0
3.777 0.0 0.0 0.0
3.778 0.0 0.0 0.0
3.871 0.0 0.0 0.0
3.872 0.0 0.0 0.0
3.872 0.0 0.0 0.0
3.872 0.0 0.0 0.0
3.876 0.0 0.0 0.0
4.078 0.0 0.0 0.0
4.079 0.0 0.0 0.0
4.079 0.0 0.0 0.0
4.079 0.0 0.0 0.0
4.079 0.0 0.0 0.0
4.080 0.0 0.0 0.0
4.081 0.0 0.0 0.0
4.081 0.0 0.0 0.0
4.081 0.0 0.0 0.0
4.082 0.0 0.0 0.0
4.141 0.0 0.0 0.0
4.141 0.0 0.0 0.0
