Time RPM1 RPM2 RPM3
0.001 0.0 0.0 0.0
1.890 0.0 0.0 0.0
1.893 0.0 0.0 0.0
1.894 0.0 0.0 0.0
1.895 0.0 0.0 0.0
1.897 0.0 0.0 0.0
1.900 0.0 0.0 0.0
1.902 0.0 0.0 0.0
1.904 0.0 0.0 0.0
1.906 0.0 0.0 0.0
1.908 0.0 0.0 0.0
1.910 0.0 0.0 0.0
1.911 0.0 0.0 0.0
1.913 0.0 0.0 0.0
1.915 0.0 0.0 0.0
1.917 0.0 0.0 0.0
1.920 0.0 0.0 0.0
1.923 0.0 0.0 0.0
1.924 0.0 0.0 0.0
1.925 0.0 0.0 0.0
1.926 0.0 0.0 0.0
1.927 0.0 0.0 0.0
1.931 0.0 0.0 0.0
1.932 0.0 0.0 0.0
1.935 0.0 0.0 0.0
1.936 0.0 0.0 0.0
1.938 0.0 0.0 0.0
1.940 0.0 0.0 0.0
1.941 0.0 0.0 0.0
1.942 0.0 0.0 0.0
1.942 0.0 0.0 0.0
1.944 0.0 0.0 0.0
1.947 0.0 0.0 0.0
1.948 0.0 0.0 0.0
1.951 0.0 0.0 0.0
1.953 0.0 0.0 0.0
1.954 0.0 0.0 0.0
1.955 0.0 0.0 0.0
1.956 0.0 0.0 0.0
1.957 0.0 0.0 0.0
1.959 0.0 0.0 0.0
1.960 0.0 0.0 0.0
1.963 0.0 0.0 0.0
1.964 0.0 0.0 0.0
1.966 0.0 0.0 0.0
1.967 0.0 0.0 0.0
1.970 0.0 0.0 0.0
1.970 0.0 0.0 0.0
1.972 0.0 0.0 0.0
1.974 0.0 0.0 0.0
1.974 0.0 0.0 0.0
1.976 0.0 0.0 0.0
1.978 0.0 0.0 0.0
1.980 0.0 0.0 0.0
1.982 0.0 0.0 0.0
1.982 0.0 0.0 0.0
1.985 0.0 0.0 0.0
1.986 0.0 0.0 0.0
2.013 0.0 0.0 0.0
2.014 0.0 0.0 0.0
2.016 0.0 0.0 0.0
2.018 0.0 0.0 0.0
2.019 0.0 0.0 0.0
2.020 0.0 0.0 0.0
2.021 0.0 0.0 0.0
2.022 0.0 0.0 0.0
2.025 0.0 0.0 0.0
2.027 0.0 0.0 0.0
2.028 0.0 0.0 0.0
2.031 0.0 0.0 0.0
2.032 0.0 0.0 0.0
2.033 0.0 0.0 0.0
2.034 0.0 0.0 0.0
2.035 0.0 0.0 0.0
2.036 0.0 0.0 0.0
2.038 0.0 0.0 0.0
2.038 0.0 0.0 0.0
2.042 0.0 0.0 0.0
2.043 0.0 0.0 0.0
2.045 0.0 0.0 0.0
2.047 0.0 0.0 0.0
2.047 0.0 0.0 0.0
2.049 0.0 0.0 0.0
2.099 0.0 0.0 0.0
2.100 0.0 0.0 0.0
2.101 0.0 0.0 0.0
2.104 0.0 0.0 0.0
2.106 0.0 0.0 0.0
2.108 0.0 0.0 0.0
2.109 0.0 0.0 0.0
2.110 0.0 0.0 0.0
2.111 0.0 0.0 0.0
2.113 0.0 0.0 0.0
2.114 0.0 0.0 0.0
2.115 0.0 0.0 0.0
2.116 0.0 0.0 0.0
2.119 0.0 0.0 0.0
2.120 0.0 0.0 0.0
2.121 0.0 0.0 0.0
2.125 0.0 0.0 0.0
2.126 0.0 0.0 0.0
2.127 0.0 0.0 0.0
2.128 0.0 0.0 0.0
2.130 0.0 0.0 0.0
2.662 0.0 0.0 0.0
2.716 0.0 0.0 0.0
2.718 0.0 0.0 0.0
2.720 0.0 0.0 0.0
2.722 0.0 0.0 0.0
2.723 0.0 0.0 0.0
2.724 0.0 0.0 0.0
2.726 0.0 0.0 0.0
2.729 0.0 0.0 0.0
2.733 0.0 0.0 0.0
2.735 0.0 0.0 0.0
2.737 0.0 0.0 0.0
2.738 0.0 0.0 0.0
2.741 0.0 0.0 0.0
2.742 0.0 0.0 0.0
2.746 0.0 0.0 0.0
2.747 0.0 0.0 0.0
2.751 0.0 0.0 0.0
2.753 0.0 0.0 0.0
2.754 0.0 0.0 0.0
2.755 0.0 0.0 0.0
2.756 0.0 0.0 0.0
2.759 0.0 0.0 0.0
2.763 0.0 0.0 0.0
2.764 0.0 0.0 0.0
2.766 0.0 0.0 0.0
2.767 0.0 0.0 0.0
2.770 0.0 0.0 0.0
2.796 0.0 0.0 0.0
2.798 0.0 0.0 0.0
2.801 0.0 0.0 0.0
2.802 0.0 0.0 0.0
2.803 0.0 0.0 0.0
2.805 0.0 0.0 0.0
2.808 0.0 0.0 0.0
2.809 0.0 0.0 0.0
3.362 0.0 0.0 0.0
3.362 0.0 0.0 0.0
3.365 0.0 0.0 0.0
3.367 0.0 0.0 0.0
3.369 0.0 0.0 0.0
3.369 0.0 0.0 0.0
3.373 0.0 0.0 0.0
3.375 0.0 0.0 0.0
3.376 0.0 0.0 0.0
3.378 0.0 0.0 0.0
3.380 0.0 0.0 0.0
3.381 0.0 0.0 0.0
3.383 0.0 0.0 0.0
3.386 0.0 0.0 0.0
3.389 0.0 0.0 0.0
3.391 0.0 0.0 0.0
3.392 0.0 0.0 0.0
3.395 0.0 0.0 0.0
3.396 0.0 0.0 0.0
3.397 0.0 0.0 0.0
3.400 0.0 0.0 0.0
3.402 0.0 0.0 0.0
3.404 0.0 0.0 0.0
