Time Heading Pitch Roll AccelX AccelY AccelZ GravityX GravityY GravityZ
35.490 66.54 -0.23 2.17 0.00 0.05 -0.13 0.03 0.37 9.79
35.583 66.54 -0.23 2.17 0.00 0.05 -0.10 0.03 0.37 9.79
35.698 66.54 -0.23 2.17 0.00 0.07 -0.12 0.03 0.37 9.79
35.796 66.54 -0.23 2.17 0.00 0.07 -0.13 0.03 0.37 9.79
35.850 66.54 -0.23 2.17 -0.01 0.05 -0.11 0.03 0.37 9.79
35.943 66.54 -0.23 2.17 0.00 0.06 -0.11 0.03 0.37 9.79
36.041 66.54 -0.23 2.17 0.00 0.07 -0.13 0.03 0.37 9.79
36.211 66.54 -0.23 2.17 -0.02 0.04 -0.12 0.03 0.37 9.79
36.259 66.54 -0.23 2.17 0.01 0.05 -0.13 0.03 0.37 9.79
36.415 66.54 -0.23 2.17 0.00 0.06 -0.14 0.03 0.37 9.79
36.516 66.54 -0.23 2.17 0.00 0.07 -0.13 0.03 0.37 9.79
36.720 66.54 -0.23 2.17 0.01 0.07 -0.14 0.03 0.37 9.79
36.732 66.54 -0.23 2.17 -0.01 0.06 -0.12 0.03 0.37 9.79
36.768 66.54 -0.23 2.17 -0.03 0.04 -0.10 0.03 0.37 9.79
36.926 66.54 -0.23 2.17 -0.01 0.07 -0.12 0.03 0.37 9.79
36.974 66.54 -0.23 2.17 0.00 0.06 -0.13 0.03 0.37 9.79
37.131 66.54 -0.23 2.17 0.00 0.06 -0.12 0.03 0.37 9.79
37.173 66.54 -0.23 2.17 0.00 0.06 -0.14 0.03 0.37 9.79
37.332 66.54 -0.23 2.17 0.00 0.07 -0.10 0.03 0.37 9.79
37.436 66.54 -0.23 2.17 0.00 0.08 -0.12 0.03 0.37 9.79
37.447 66.54 -0.23 2.17 0.00 0.06 -0.13 0.03 0.37 9.79
37.594 66.54 -0.23 2.17 0.00 0.06 -0.13 0.03 0.37 9.79
37.747 66.54 -0.23 2.17 -0.01 0.07 -0.12 0.03 0.37 9.79
37.758 66.54 -0.23 2.17 -0.02 0.06 -0.12 0.03 0.37 9.79
37.866 66.54 -0.23 2.17 0.00 0.08 -0.11 0.03 0.37 9.79
37.949 66.54 -0.23 2.17 0.00 0.08 -0.15 0.03 0.37 9.79
38.063 66.54 -0.23 2.17 -0.01 0.06 -0.14 0.03 0.37 9.79
38.153 66.54 -0.23 2.17 0.00 0.07 -0.13 0.03 0.37 9.79
38.357 66.54 -0.23 2.17 0.01 0.06 -0.13 0.03 0.37 9.79
38.367 66.54 -0.23 2.17 0.00 0.05 -0.13 0.03 0.37 9.79
38.450 66.54 -0.23 2.17 0.00 0.08 -0.12 0.03 0.37 9.79
38.665 66.54 -0.23 2.17 -0.01 0.08 -0.14 0.03 0.37 9.79
38.674 66.54 -0.23 2.17 0.00 0.07 -0.10 0.03 0.37 9.79
38.867 66.54 -0.23 2.17 0.00 0.05 -0.13 0.03 0.37 9.79
38.877 66.54 -0.23 2.17 -0.10 -0.01 -0.26 0.03 0.37 9.79
38.960 66.54 -0.23 2.17 -0.04 0.05 -0.15 0.03 0.37 9.79
39.066 66.54 -0.23 2.17 0.01 0.06 -0.12 0.03 0.37 9.79
39.181 66.54 -0.23 2.17 0.00 0.05 -0.06 0.03 0.37 9.79
39.286 66.54 -0.23 2.17 0.09 0.16 -0.03 0.03 0.37 9.79
39.338 66.69 -0.21 2.66 0.00 0.00 -0.09 0.03 0.45 9.79
39.488 66.68 -0.23 2.80 0.05 -0.01 -0.03 0.03 0.47 9.79
