Time Heading Pitch Roll AccelX AccelY AccelZ GravityX GravityY GravityZ
10.674 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
10.818 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
10.869 0.00 0.10 2.19 0.01 -0.02 -0.11 -0.01 0.37 9.79
11.015 0.00 0.10 2.19 0.00 -0.02 -0.13 -0.01 0.37 9.79
11.115 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
11.166 0.00 0.10 2.19 0.01 -0.02 -0.11 -0.01 0.37 9.79
11.262 0.00 0.10 2.19 0.00 -0.02 -0.11 -0.01 0.37 9.79
11.431 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
11.525 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
11.575 0.00 0.10 2.19 0.00 -0.02 -0.11 -0.01 0.37 9.79
11.736 0.00 0.10 2.19 0.02 -0.01 -0.14 -0.01 0.37 9.79
11.841 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
11.854 0.00 0.10 2.19 -0.01 -0.02 -0.12 -0.01 0.37 9.79
12.050 0.00 0.10 2.19 0.00 -0.04 -0.12 -0.01 0.37 9.79
12.059 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
12.252 0.00 0.10 2.19 0.00 -0.04 -0.13 -0.01 0.37 9.79
12.262 0.00 0.10 2.19 0.00 -0.02 -0.13 -0.01 0.37 9.79
12.355 0.00 0.10 2.19 -0.01 -0.01 -0.13 -0.01 0.37 9.79
12.552 0.00 0.10 2.19 0.01 -0.02 -0.13 -0.01 0.37 9.79
12.558 0.00 0.10 2.19 0.02 -0.03 -0.14 -0.01 0.37 9.79
12.758 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
12.764 0.00 0.10 2.19 -0.01 -0.01 -0.14 -0.01 0.37 9.79
12.970 0.00 0.10 2.19 0.01 -0.03 -0.12 -0.01 0.37 9.79
12.979 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
13.170 0.00 0.10 2.19 0.01 -0.01 -0.12 -0.01 0.37 9.79
13.178 0.00 0.10 2.19 -0.01 0.00 -0.11 -0.01 0.37 9.79
13.275 0.00 0.10 2.19 0.00 -0.01 -0.13 -0.01 0.37 9.79
13.473 0.00 0.10 2.19 0.01 0.00 -0.13 -0.01 0.37 9.79
13.482 0.00 0.10 2.19 0.01 -0.02 -0.12 -0.01 0.37 9.79
