Time (s),RPM1,RPM2,RPM3,dt (s),Vx (m/s),Vy (m/s),Omega (rad/s),X (m),Y (m),Theta (rad)
1.151,0.0,0.0,0.0,0.001000000000000112,0.0,0.0,0.0,0.0,0.0,0.0
1.152,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
1.341,0.0,0.0,0.0,0.18900000000000006,0.0,0.0,0.0,0.0,0.0,0.0
1.342,0.0,0.0,0.0,0.001000000000000112,0.0,0.0,0.0,0.0,0.0,0.0
1.344,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
1.346,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
1.348,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
1.349,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
1.352,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
1.353,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
1.354,0.0,0.0,0.0,0.001000000000000112,0.0,0.0,0.0,0.0,0.0,0.0
1.356,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
1.363,0.0,0.0,0.0,0.006999999999999895,0.0,0.0,0.0,0.0,0.0,0.0
1.391,0.0,0.0,0.0,0.028000000000000025,0.0,0.0,0.0,0.0,0.0,0.0
1.392,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
1.441,0.0,0.0,0.0,0.049000000000000155,0.0,0.0,0.0,0.0,0.0,0.0
1.443,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
1.444,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
1.546,0.0,0.0,0.0,0.10200000000000009,0.0,0.0,0.0,0.0,0.0,0.0
1.547,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
1.548,0.0,0.0,0.0,0.001000000000000112,0.0,0.0,0.0,0.0,0.0,0.0
1.55,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
1.553,0.0,0.0,0.0,0.0029999999999998916,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.04700000000000015,0.0,0.0,0.0,0.0,0.0,0.0
1.602,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
1.698,0.0,0.0,0.0,0.09599999999999986,0.0,0.0,0.0,0.0,0.0,0.0
1.699,0.0,0.0,0.0,0.001000000000000112,0.0,0.0,0.0,0.0,0.0,0.0
1.701,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
1.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.704,0.0,0.0,0.0,0.0029999999999998916,0.0,0.0,0.0,0.0,0.0,0.0
1.852,0.0,0.0,0.0,0.14800000000000013,0.0,0.0,0.0,0.0,0.0,0.0
1.854,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
1.856,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
1.858,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
1.861,0.0,0.0,0.0,0.0029999999999998916,0.0,0.0,0.0,0.0,0.0,0.0
1.864,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
1.865,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
1.867,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
1.956,0.0,0.0,0.0,0.08899999999999997,0.0,0.0,0.0,0.0,0.0,0.0
1.959,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
1.96,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
1.963,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
1.966,0.0,0.0,0.0,0.0029999999999998916,0.0,0.0,0.0,0.0,0.0,0.0
2.006,0.0,0.0,0.0,0.039999999999999813,0.0,0.0,0.0,0.0,0.0,0.0
2.007,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
2.008,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
2.162,0.0,0.0,0.0,0.15399999999999991,0.0,0.0,0.0,0.0,0.0,0.0
2.165,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
2.169,0.0,0.0,0.0,0.0040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0
2.172,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
2.175,0.0,0.0,0.0,0.0029999999999996696,0.0,0.0,0.0,0.0,0.0,0.0
2.177,0.0,0.0,0.0,0.002000000000000224,0.0,0.0,0.0,0.0,0.0,0.0
2.179,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
2.18,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
2.262,0.0,0.0,0.0,0.08199999999999985,0.0,0.0,0.0,0.0,0.0,0.0
2.266,0.0,0.0,0.0,0.0040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0
2.269,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
2.274,0.0,0.0,0.0,0.004999999999999893,0.0,0.0,0.0,0.0,0.0,0.0
2.276,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
2.315,0.0,0.0,0.0,0.039000000000000146,0.0,0.0,0.0,0.0,0.0,0.0
2.318,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
2.467,0.0,0.0,0.0,0.14900000000000002,0.0,0.0,0.0,0.0,0.0,0.0
2.468,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
2.469,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
