Timestamp,RPM1,RPM2,RPM3,BNO055_Heading_Deg,BNO055_Heading_Rad,Is_Using_BNO055,Theta_For_Kinematics_Rad,Theta_For_Kinematics_Deg,Velocity_X,Velocity_Y,Angular_Velocity,Position_X,Position_Y,Theta_Rad,Theta_Deg,Delta_Time
2025-04-04 22:09:56.428,48.49,-29.89,-17.62,9.3125,0.16253378659197193,True,0.16253378659197193,9.3125,-0.027234377320047465,0.15049310654102002,0.006651027868909042,-0.0826684966474171,0.9952186504972509,0.16253378659197193,9.3125,0.02
2025-04-04 22:09:56.481,48.64,-29.69,-17.86,9.4375,0.16471544815696484,True,0.16471544815696484,9.4375,-0.028761105620664074,0.15045156338942262,0.007397571813378366,-0.08324371875983039,0.9982276817650393,0.16471544815696484,9.4375,0.02
2025-04-04 22:09:56.481,48.64,-29.69,-17.86,9.4375,0.16471544815696484,True,0.16471544815696484,9.4375,-0.028761105620664074,0.15045156338942262,0.007397571813378366,-0.08381894087224367,1.0012367130328277,0.16471544815696484,9.4375,0.02
2025-04-04 22:09:56.538,49.42,-31.7,-17.37,9.4375,0.16471544815696484,True,0.16471544815696484,9.4375,-0.02551386405445094,0.15497042383582865,0.002375367096038893,-0.08432921815333269,1.0043361215095443,0.16471544815696484,9.4375,0.02
2025-04-04 22:09:56.538,49.42,-31.7,-17.37,9.4375,0.16471544815696484,True,0.16471544815696484,9.4375,-0.02551386405445094,0.15497042383582865,0.002375367096038893,-0.08483949543442171,1.007435529986261,0.16471544815696484,9.4375,0.02
2025-04-04 22:09:56.694,48.71,-30.93,-16.62,9.4375,0.16471544815696484,True,0.16471544815696484,9.4375,-0.024552196139756063,0.15204548300977666,0.007872645232586285,-0.08533053935721682,1.0104764396464565,0.16471544815696484,9.4375,0.02
2025-04-04 22:09:56.695,48.71,-30.93,-16.62,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.026540306574597026,0.15171107858652824,0.007872645232586285,-0.08586134548870876,1.013510661218187,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:56.695,48.71,-30.93,-16.62,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.026540306574597026,0.15171107858652824,0.007872645232586285,-0.0863921516202007,1.0165448827899175,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:56.695,48.71,-30.93,-16.62,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.026540306574597026,0.15171107858652824,0.007872645232586285,-0.08692295775169263,1.019579104361648,0.1712604328519436,9.8125,0.02
2025-04-04 22:09:56.695,48.71,-30.93,-16.62,9.8125,0.1712604328519436,True,0.1712604328519436,9.8125,-0.026540306574597026,0.15171107858652824,0.007872645232586285,-0.08745376388318457,1.0226133259333785,0.1712604328519436,9.8125,0.02
